name,date,price,change,%change,open,high,low,volume,value(m)
SIRI,2023-07-03,1.93,0.01,0.520833,1.92,1.94,1.9,81257762,155923.57407
SIS,2023-07-03,17.5,0.0,0.0,17.4,17.7,17.2,218247,3802.4397000000004
SKN,2023-07-03,4.36,-0.04,-0.909091,4.38,4.38,4.34,231930,1011.9738199999999
SMPC,2023-07-03,11.0,0.3,2.803738,10.7,11.2,10.7,245974,2693.6645
SNC,2023-07-03,10.1,0.0,0.0,10.1,10.2,10.0,694375,7012.6659
SPALI,2023-07-03,20.2,0.0,0.0,20.3,20.3,20.0,3140519,63295.8039
SPCG,2023-07-03,12.5,-0.2,-1.574803,12.7,12.8,12.5,363711,4586.7622
SPRC,2023-07-03,8.1,0.05,0.621118,8.15,8.2,8.0,10765130,86799.20284999999
SPRIME,2023-07-03,6.45,0.05,0.78125,6.4,6.45,6.35,94100,602.905
SSP,2023-07-03,7.75,-0.1,-1.273885,7.85,7.85,7.75,55754,434.19995
STA,2023-07-03,16.6,-0.4,-2.352941,17.0,17.0,16.4,5419627,89813.3011
STANLY,2023-07-03,217.0,1.0,0.462963,216.0,218.0,215.0,192503,41665.672
STEC,2023-07-03,8.85,0.05,0.568182,8.9,8.9,8.75,3567601,31453.27875
STGT,2023-07-03,7.3,-0.15,-2.013423,7.55,7.6,7.25,7280711,53587.06525
SUPER,2023-07-03,0.53,0.01,1.923077,0.53,0.53,0.52,4434939,2316.8322599999997
SYNEX,2023-07-03,12.0,0.1,0.840336,12.1,12.1,11.9,84951,1020.3536
TASCO,2023-07-03,18.7,0.0,0.0,18.5,18.8,18.4,2215748,41191.9789
TCAP,2023-07-03,49.5,-0.25,-0.502513,49.75,50.0,49.25,1108774,54856.1325
TFFIF,2023-07-03,7.6,0.05,0.662252,7.6,7.65,7.55,2595600,19724.615
THANI,2023-07-03,3.28,0.06,1.863354,3.22,3.3,3.22,8655133,28166.638320000002
THG,2023-07-03,68.75,0.25,0.364964,68.5,69.0,68.25,682700,46827.2
TIDLOR,2023-07-03,23.4,0.3,1.298701,23.1,23.5,22.6,18040386,416612.2102
TIPH,2023-07-03,42.5,0.0,0.0,42.5,42.75,41.5,407698,17148.75175
TIPCO,2023-07-03,10.7,0.4,3.883495,10.5,10.9,10.3,2783349,29748.275100000003
TISCO,2023-07-03,96.75,-0.25,-0.257732,97.0,97.0,96.25,1593924,153885.3965
TK,2023-07-03,7.0,-0.05,-0.70922,7.05,7.05,6.9,122435,853.1251
TKN,2023-07-03,10.9,0.2,1.869159,10.8,11.0,10.5,6414663,69206.37120000001
TKS,2023-07-03,8.85,0.3,3.508772,8.85,9.0,8.5,948280,8319.25695
TMT,2023-07-03,7.45,0.1,1.360544,7.4,7.45,7.3,52423,386.79909999999995
TOA,2023-07-03,27.25,0.0,0.0,27.75,27.75,26.5,662381,17925.0175
TOP,2023-07-03,44.75,0.5,1.129944,44.75,44.75,44.0,3112001,138577.9625
TPIPL,2023-07-03,1.48,0.01,0.680272,1.47,1.49,1.46,3932574,5807.913269999999
TPIPP,2023-07-03,3.32,0.0,0.0,3.32,3.32,3.3,1666068,5508.68782
TQM,2023-07-03,27.0,0.25,0.934579,26.75,27.25,26.5,439819,11839.54675
TRUE,2023-07-03,6.5,-0.05,-0.763359,6.55,6.6,6.4,52108914,338885.44289999997
TSE,2023-07-03,2.26,-0.02,-0.877193,2.3,2.3,2.22,1385451,3111.6322200000004
TSTH,2023-07-03,0.86,0.01,1.176471,0.86,0.87,0.85,248101,213.093
TTA,2023-07-03,6.6,0.05,0.763359,6.55,6.65,6.55,717179,4735.53595
TTB,2023-07-03,1.54,-0.01,-0.645161,1.55,1.56,1.53,227643205,351091.47589
TTLPF,2023-07-03,22,0,0,21.9,22,21.9,2000,43.82
TTW,2023-07-03,8.6,-0.05,-0.578035,8.65,8.65,8.5,677154,5810.36785
TU,2023-07-03,12.8,-0.1,-0.775194,12.9,13.0,12.7,34383469,441993.3006
TVO,2023-07-03,25.5,0.25,0.990099,25.5,25.5,25.0,369286,9329.33375
UTP,2023-07-03,11.2,0.4,3.703704,10.9,11.2,10.7,308158,3412.8559
VGI,2023-07-03,3.06,0.02,0.657895,3.06,3.1,3.02,14183551,43425.19426
WHA,2023-07-03,4.58,-0.02,-0.434783,4.62,4.62,4.54,54294400,248614.38136000003
WHAIR,2023-07-03,7.15,0.05,0.704225,7.1,7.15,7.1,234200,1663.08
WHART,2023-07-03,10.7,0.1,0.943396,10.6,10.7,10.5,276179,2934.7353
WHAUP,2023-07-03,3.62,0.08,2.259887,3.58,3.62,3.52,1326640,4735.13104
WICE,2023-07-03,8.25,-0.1,-1.197605,8.3,8.3,8.15,428062,3523.1312000000003
WORK,2023-07-03,14.5,0.1,0.694444,14.4,14.7,14.4,18109,264.2169
