Symbol,Date,Trading-Sign,Last,Change,%Change,Open,High,Low,TR-Volume,TR-Value-(k),Total-Volume,Total-Value-(k),Bid-Size,Bid,Offer,Offer-Size,Sector,Volume,Value,Unnamed:-8,Unnamed:-9,Unnamed:-10,Unnamed:-11,Unnamed:-12,Unnamed:-13,Unnamed:-14,Unnamed:-15,Market,SET,Industry,-Property-&-Construction,Property-Fund-&-REITs,Unnamed:-6,Unnamed:-7,-Services,Transportation-&-Logistics,-Technology,Information-&-Communication-Technology
HENG,2023-02-01,-,3.24,0.16,5.194805194805195,3.08,3.24,3.08,0.0,0.0,32608114.0,103420.12586,1857900.0,3.22,3.24,1936000.0,,,,,,,,,,,,,,,,,,,,,,
HFT,2023-02-01,-,6.55,0.0,0.0,6.6,6.65,6.55,0.0,0.0,108601.0,716.3666,79100.0,6.55,6.6,55300.0,,,,,,,,,,,,,,,,,,,,,,
HMPRO,2023-02-01,-,14.4,-0.3,-2.0408163265306123,14.7,14.7,14.4,0.0,0.0,17924105.0,260600.2495,4238500.0,14.4,14.5,2932700.0,,,,,,,,,,,,,,,,,,,,,,
HTC,2023-02-01,-,30.5,0.25,0.8264462809917356,30.25,30.5,30.0,0.0,0.0,137241.0,4150.8745,67900.0,30.25,30.5,19300.0,,,,,,,,,,,,,,,,,,,,,,
HUMAN,2023-02-01,-,12.6,-0.1,-0.7874015748031497,12.8,12.8,12.6,0.0,0.0,520703.0,6595.148099999999,292300.0,12.6,12.7,165100.0,,,,,,,,,,,,,,,,,,,,,,
ICHI,2023-02-01,-,12.5,0.0,0.0,12.6,12.7,12.3,0.0,0.0,6956557.0,87000.6225,95400.0,12.5,12.6,990400.0,,,,,,,,,,,,,,,,,,,,,,
III,2023-02-01,-,14.7,-0.2,-1.342281879194631,15.1,15.1,14.7,0.0,0.0,2006395.0,29898.895,432600.0,14.7,14.8,140900.0,,,,,,,,,,,,,,,,,,,,,,
ILINK,2023-02-01,-,7.3,0.0,0.0,7.35,7.4,7.3,0.0,0.0,900178.0,6619.214599999999,225400.0,7.3,7.35,106200.0,,,,,,,,,,,,,,,,,,,,,,
ILM,2023-02-01,-,18.9,-0.1,-0.5263157894736842,19.0,19.3,18.8,0.0,0.0,757800.0,14460.34,93900.0,18.8,19.0,47000.0,,,,,,,,,,,,,,,,,,,,,,
INTUCH,2023-02-01,-,73.5,-0.25,-0.3389830508474576,74.0,74.0,73.25,0.0,0.0,849000.0,62410.91675,158200.0,73.25,73.5,164100.0,,,,,,,,,,,,,,,,,,,,,,
