id,stock_id,name,year,quarter,number,ppu,amt,net,x_date,p_date
256,48,JASIF,2021,2,130000,0.24,31200.0,31200.0,2021-08-20,2021-09-07
255,179,SUPEREIF,2021,2,10000,0.25204,2520.4,2520.4,2021-08-19,2021-09-07
254,97,JMT,2021,2,2500,0.4,1000.0,900.0,2021-08-23,2021-09-06
253,113,SYNEX,2021,2,4000,0.18,720.0,648.0,2021-08-24,2021-09-03
252,81,DIF,2021,2,60000,0.261,15660.0,15660.0,2021-08-10,2021-09-03
251,45,ADVANC,2021,2,600,3.45,2070.0,1863.0,2021-08-16,2021-09-01
250,178,CPNCG,2021,2,20000,0.245,4900.0,4410.0,2021-08-10,2021-09-03
249,131,PTTEP,2021,2,1000,2.0,2000.0,1800.0,2021-08-11,2021-08-27
248,62,EPG,2021,1,10000,0.19,1900.0,1710.0,2021-08-03,2021-08-20
247,152,DTAC,2021,2,6000,1.05,6300.0,5670.0,2021-07-30,2021-08-16
246,173,TIPH,2021,1,3000,0.5,1500.0,1350.0,2021-06-23,2021-07-07
245,172,WHART,2021,1,9000,0.1915,1723.5,1551.15,2021-05-28,2021-06-14
244,153,BGC,2021,1,20000,0.13,2600.0,2600.0,2021-05-25,2021-06-11
243,178,CPNCG,2021,1,10000,0.2515,2515.0,2263.5,2021-05-18,2021-06-07
242,27,IVL,2021,1,9000,0.25,2250.0,2025.0,2021-05-27,2021-06-10
241,48,JASIF,2021,1,130000,0.24,31200.0,31200.0,2021-05-21,2021-06-10
240,179,SUPEREIF,2021,1,10000,0.267,2670.0,2670.0,2021-05-21,2021-06-09
239,177,POPF,2021,1,10000,0.247,2470.0,2223.0,2021-05-12,2021-06-04
238,169,GVREIT,2021,1,10000,0.1915,1915.0,1723.5,2021-05-21,2021-06-04
237,166,DCC,2021,1,40000,0.05,2000.0,1800.0,2021-05-17,2021-05-28
236,21,CPF,2020,4,10000,0.6,6000.0,5400.0,2021-05-17,2021-05-28
235,140,DIF,2021,1,100000,0.261,26100.0,26100.0,2021-05-12,2021-06-04
234,145,NOBLE,2020,4,12000,0.5,6000.0,5400.0,2021-05-10,2021-05-27
233,13,UTP,2020,4,6000,0.39,2340.0,2340.0,2021-03-08,2021-05-25
232,24,ROJNA,2020,4,20000,0.2,4000.0,3600.0,2021-05-07,2021-05-24
231,107,GUNKUL,2020,4,30000,0.182,5460.0,4914.0,2021-05-06,2021-05-24
230,31,SENA,2020,4,60000,0.185035,11102.1,10043.96,2021-05-11,2021-05-21
229,120,TCAP,2020,4,3000,1.8,5400.0,4860.0,2021-05-05,2021-05-19
228,7,LH,2020,4,42000,0.3,12600.0,11340.0,2021-05-06,2021-05-21
227,125,ORI,2020,4,50000,0.39,19500.0,17550.0,2021-05-07,2021-05-18
226,173,TIPH,2020,4,3000,1.3,3900.0,3510.0,2021-03-11,2021-05-19
225,143,PRM,2020,4,33000,0.18,5940.0,5398.8,2021-04-30,2021-05-20
224,174,PDG,2020,4,25000,0.22,5500.0,4950.0,2021-05-15,2021-05-20
223,27,IVL,2020,4,10000,0.175,1750.0,1575.0,2021-05-06,2021-05-20
222,109,TISCO,2020,4,2000,6.3,12600.0,11340.0,2021-04-28,2021-05-17
221,128,ASIAN,2020,4,10000,1.05,10500.0,4450.0,2021-04-29,2021-05-17
220,165,TVO,2020,4,6000,0.8,4800.0,4320.0,2021-03-12,2021-05-14
219,153,BGC,2020,4,10000,0.12,1200.0,1200.0,2021-04-21,2021-05-07
218,115,AMATA,2020,4,12000,0.2,2400.0,2160.0,2021-04-22,2021-05-07
217,160,TPIPP,2020,4,60000,0.15,9000.0,9000.0,2021-03-12,2021-05-07
216,175,MBAX,2020,4,12000,0.56,6720.0,6048.0,2021-04-21,2021-05-07
215,56,SMPC,2020,4,20000,0.43,8600.0,7740.0,2021-04-04,2021-04-30
214,135,GC,2020,4,15000,0.4,6000.0,5400.0,2021-04-16,2021-04-30
213,110,FSMART,2020,4,18000,0.3,5400.0,4860.0,2021-03-09,2021-04-29
212,76,EGCO,2020,4,900,3.5,3150.0,2835.0,2021-03-09,2021-04-27
211,43,MCS,2020,4,75000,0.6,45000.0,43050.0,2021-03-15,2021-04-28
210,166,DCC,2020,4,40000,0.044,1760.0,1584.0,2021-04-05,2021-04-27
209,96,RATCH,2020,4,6000,1.25,7500.0,6750.0,2021-03-02,2021-04-23
208,95,PTTGC,2020,4,2000,1.0,2000.0,1800.0,2021-02-25,2021-04-23
207,155,TU,2020,4,21000,0.4,8400.0,7770.0,2021-03-08,2021-04-21
206,152,DTAC,2020,4,9000,2.12,19080.0,17172.0,2021-02-11,2021-04-20
205,45,ADVANC,2020,4,600,3.68,2208.0,1987.2,2021-02-19,2021-04-20
204,138,SCCC,2020,4,600,9.0,5400.0,4860.0,2021-02-24,2021-04-05
203,156,WHAIR,2021,1,30000,0.1738,5214.0,4692.6,2021-05-25,2021-06-25
202,172,WHART,2020,4,10000,0.1195,1195.0,1075.5,2021-03-04,2021-03-22
201,154,TTLPF,2020,4,12000,0.43,5160.0,4644.0,2021-03-01,2021-03-17
200,162,CPTGF,2020,4,10000,0.18,1800.0,1620.0,2021-03-01,2021-03-17
199,171,EGATIF,2020,4,10000,0.2,2000.0,2000.0,2021-03-01,2021-03-17
198,48,JASIF,2020,4,130000,0.25,32500.0,32500.0,2021-02-24,2021-03-15
197,81,DIF,2020,4,80000,0.261,20880.0,20880.0,2021-02-23,2021-03-12
196,170,MC,2020,2,10000,0.35,3500.0,3150.0,2021-02-25,2021-03-11
195,169,GVREIT,2020,4,18000,0.2037,3666.6,3299.94,2021-02-25,2021-03-10
194,176,LPF,2020,3,7000,0.1955,1368.5,1231.65,2021-01-27,2021-02-15
193,125,ORI,2020,3,63000,0.1,6300.0,5670.0,2021-01-08,2021-01-22
192,154,TTLPF,2020,3,11100,0.46,5106.0,4595.4,2020-11-30,2020-12-21
191,48,JASIF,2020,3,130000,0.25,32500.0,32500.0,2020-11-18,2020-12-04
190,140,DIF,2020,3,70000,0.261,18270.0,18270.0,2020-11-11,2020-12-04
189,143,PRM,2020,3,33000,0.07,2310.0,2184.6,2020-11-26,2020-12-09
188,27,IVL,2020,3,12000,0.175,2100.0,1890.0,2020-11-23,2020-12-09
187,156,WHAIR,2020,4,30000,0.1718,5154.0,4638.0,2020-12-04,2020-12-24
186,156,WHAIR,2020,3,30000,0.1715,5145.0,4630.5,2020-11-24,2020-12-14
185,76,EGCO,2020,2,900,3.0,2700.0,2430.0,2020-09-02,2020-09-17
184,162,CPTGF,2019,3,1,0.2085,0.21,0.19,2019-11-28,2019-12-19
183,162,CPTGF,2019,4,1,0.211,0.21,0.19,2020-02-27,2020-03-16
182,162,CPTGF,2020,1,1,0.2015,0.2,0.18,2020-05-28,2020-06-16
181,162,CPTGF,2020,2,1,0.146,0.15,0.13,2020-08-27,2020-09-16
180,154,TTLPF,2019,3,1,0.431,0.43,0.39,2019-11-28,2019-12-19
179,154,TTLPF,2019,4,1,0.4,0.4,0.36,2020-02-27,2020-03-16
178,154,TTLPF,2020,1,9900,0.44,4356.0,3920.0,2020-05-28,2020-06-16
177,154,TTLPF,2020,2,9900,0.362,3583.8,3225.42,2020-08-27,2020-09-16
173,156,WHAIR,2020,2,12000,0.1715,2058.0,1852.2,2020-08-18,2020-09-18
172,160,TPIPP,2019,3,1,0.1,0.1,0.09,2019-09-12,2019-09-24
171,160,TPIPP,2019,4,1,0.1,0.1,0.09,2019-12-12,2019-12-27
170,160,TPIPP,2020,1,1,0.2,0.2,0.18,2020-03-12,2020-05-15
169,160,TPIPP,2020,2,1,0.12,0.12,0.11,2020-09-03,2020-09-22
168,125,ORI,2017,4,18000,0.55,9900.0,8910.0,2020-05-08,2020-05-25
167,125,ORI,2019,4,55000,0.29,15950.0,14355.0,2020-09-01,2020-09-25
166,110,FSMART,2020,2,60000,0.3,18000.0,16200.0,2020-08-26,2020-09-08
165,102,BJC,2016,4,5000,0.38,1900.0,1710.0,2017-05-26,2017-05-26
164,11,KTB,2016,4,16000,0.86,13760.0,12384.0,2017-05-25,2017-05-25
163,39,GL,2016,4,10000,0.274,2740.0,2466.0,2017-05-25,2017-05-25
162,31,SENA,2016,4,160000,0.07246,11593.6,460.48,2017-05-25,2017-05-25
161,21,CPF,2016,4,10000,0.45,4500.0,4050.0,2017-05-24,2017-05-24
160,101,TPCH,2016,4,10000,0.03,300.0,270.0,2017-05-24,2017-05-24
158,159,SQ,2016,4,40000,0.05,2000.0,1800.0,2017-05-19,2017-05-19
157,50,BEAUTY,2016,4,40000,0.138,5520.0,4968.0,2017-05-19,2017-05-19
156,60,BIG,2016,4,40000,0.07,2800.0,2520.0,2017-05-09,2017-05-09
155,43,MCS,2016,4,80000,0.48,38400.0,37760.0,2017-04-19,2017-05-09
154,69,RP,2016,4,20000,0.3,6000.0,5760.0,2017-05-04,2017-05-04
153,97,JMT,2016,4,15000,0.66,9900.0,8910.0,2017-05-03,2017-05-03
152,47,INTUCH,2016,4,4800,1.61,7728.0,6955.2,2017-04-28,2017-04-28
151,30,BANPU,2016,4,30000,0.25,7500.0,6750.0,2017-04-28,2017-04-28
150,45,ADVANC,2016,4,2400,4.29,10296.0,9266.4,2017-04-26,2017-04-26
149,157,STPI,2016,4,80000,0.39,31200.0,31200.0,2017-05-15,2017-05-15
148,14,SPALI,2016,4,8000,0.55,4400.0,3960.0,2017-05-09,2017-05-09
147,58,BA,2016,4,40000,0.5,20000.0,19200.0,2017-04-28,2017-04-28
146,96,RATCH,2016,4,4000,1.25,5000.0,4500.0,2017-04-27,2017-04-27
144,68,HMPRO,2017,2,20000,0.13,2600.0,2340.0,2017-09-27,2017-09-27
143,96,RATCH,2017,2,4000,1.15,4600.0,4140.0,2017-09-20,2017-09-20
142,105,TKN,2017,2,10000,0.17,1700.0,1530.0,2017-09-13,2017-09-13
141,85,GPSC,2017,2,5000,0.45,2250.0,2250.0,2017-09-11,2017-09-11
140,97,JMT,2017,2,16000,0.27,4320.0,3888.0,2017-09-08,2017-09-08
139,31,SENA,2017,2,170000,0.05455,9273.5,8346.15,2017-09-08,2017-09-08
138,21,CPF,2017,2,10000,0.5,5000.0,4500.0,2017-09-08,2017-09-08
137,158,JMART,2017,2,15000,0.18,2700.0,2430.0,2017-09-08,2017-09-08
136,50,BEAUTY,2017,2,20000,0.15,3000.0,2700.0,2017-09-08,2017-09-08
135,30,BANPU,2017,2,30000,0.3,9000.0,8100.0,2017-09-12,2017-09-29
134,43,MCS,2017,2,80000,0.2,16000.0,14400.0,2017-08-24,2017-09-11
133,129,CPNREIT,2018,1,40000,0.2879,11516.0,11516.0,2018-03-22,2018-03-22
132,85,GPSC,2018,1,3000,0.8,2400.0,2160.0,2018-04-20,2018-04-20
