id,stock_id,date,year,month,price,qty,amt,net,status,kind
549,139,2018-08-10,2018,8,16.4,18000,295200.0,295853.83,Sold,TP
553,7,2018-08-23,2018,8,10.45,6000,62700.0,62838.88,Sold,DIV
554,114,2017-09-20,2017,9,19.0,4000,76000.0,76168.33,Sold,TP
555,84,2018-08-15,2018,8,27.5,4000,110000.0,110243.64,Sold,TP
619,143,2019-05-21,2019,5,6.1,16000,97600.0,97816.17,Sold,TP
558,30,2018-09-12,2018,9,18.1,12000,217200.0,217681.07,Sold,NBS
620,134,2019-05-21,2019,5,18.5,10000,185000.0,185409.76,Sold,TP
560,84,2018-08-15,2018,8,27.5,4000,110000.0,110243.64,Sold,TP
561,43,2016-12-16,2016,12,17.4,5000,87000.0,87192.7,Sold,XP
562,133,2018-08-10,2018,8,6.5,10000,65000.0,65143.97,Sold,TP
756,156,2020-08-14,2020,8,8.03,10000,80300.0,80477.86,Sold,DIV
621,143,2019-05-31,2019,5,6.1,16000,97600.0,97816.17,Sold,TP
567,113,2018-10-05,2018,10,12.9,10000,129000.0,129285.72,Sold,SS
615,110,2019-05-13,2019,5,10.3,6000,61800.0,61936.89,Sold,DIV
596,27,2019-01-14,2019,1,49.0,3000,147000.0,147325.59,Sold,SS
622,81,2019-06-14,2019,6,16.6,10000,166000.0,166367.67,Sold,HD
602,7,2019-02-13,2019,2,10.45,6000,62700.0,62838.88,Sold,DIV
572,28,2018-10-19,2018,10,8.2,15000,123000.0,123272.43,Sold,XP
573,125,2018-10-22,2018,10,9.4,5000,47000.0,47104.1,Sold,DTD
574,125,2018-10-24,2018,10,9.4,5000,47000.0,47104.1,Sold,DTD
172,67,2016-03-31,2016,3,1.89,100000,189000.0,189420.23,Sold,XP
636,82,2019-07-17,2019,7,3.76,35000,131600.0,131891.48,Sold,TP
757,128,2020-08-17,2020,8,9.65,20000,193000.0,193427.48,Sold,DTD
601,70,2019-02-12,2019,2,69.5,8000,556000.0,557231.48,Sold,HD
1269,38,2023-06-26,2023,6,53.0,400,21200.0,21246.95,Sold,DTD
521,134,2018-02-20,2018,2,20.4,4000,81600.0,81780.73,Sold,TP
522,95,2018-06-01,2018,6,75.5,3000,226500.0,227001.68,Sold,TP
454,125,2017-12-22,2017,12,19.9,6000,119400.0,119664.46,Sold,TP
659,115,2019-11-28,2019,11,23.4,3000,70200.0,70355.48,Sold,DTD
594,82,2018-12-25,2018,12,3.76,35000,131600.0,131891.48,Sold,XP
589,28,2018-12-13,2018,12,5.8,25000,145000.0,145321.16,Sold,TP
590,110,2018-12-18,2018,12,10.3,6000,61800.0,61936.89,Sold,DIV
591,82,2018-12-18,2018,12,3.76,34300,128968.0,129253.65,Sold,HD
592,110,2018-12-19,2018,12,10.3,6000,61800.0,61936.89,Sold,DIV
424,28,2017-11-24,2017,11,8.4,10000,84000.0,84186.05,Sold,TP
632,27,2019-07-10,2019,7,42.0,3000,126000.0,126279.08,Sold,DTD
666,58,2016-01-02,2016,1,25.0,3000,75000.0,75166.12,Sold,TP
607,134,2019-02-26,2019,2,18.5,10000,185000.0,185409.76,Sold,SS
608,134,2019-03-04,2019,3,18.5,10000,185000.0,185409.76,Sold,TP
624,124,2017-11-22,2017,11,86.8,500,43400.0,43496.13,Sold,TP
667,58,2016-01-02,2016,1,25.0,3000,75000.0,75166.12,Sold,TP
626,124,2017-11-20,2017,11,86.8,1000,86800.0,86992.26,Sold,TP
627,124,2017-11-22,2017,11,86.81,1000,86810.0,87002.28,Sold,TP
628,95,2019-07-05,2019,7,66.75,2000,133500.0,133795.69,Sold,DTD
708,96,2020-05-05,2020,5,64.0,3000,192000.0,192425.26,Sold,DTD
423,115,2017-10-09,2017,10,20.8,2500,52000.0,52115.17,Sold,TP
634,82,2019-07-17,2019,7,3.76,35000,131600.0,131891.48,Sold,TP
635,129,2019-07-17,2019,7,17.9,3000,53700.0,53818.94,Sold,DIV
630,129,2014-06-25,2014,6,16.57,3000,49710.0,49820.1,Sold,DIV
631,129,2014-06-25,2014,6,17.9,20000,358000.0,358792.93,Sold,DIV
459,111,2017-12-29,2017,12,15.8,7000,110600.0,110844.97,Sold,TP
460,31,2015-05-06,2015,5,3.76,20000,75200.0,75366.56,Sold,TP
422,109,2017-12-06,2017,12,78.0,500,39000.0,39086.38,Sold,TP
681,135,2020-03-24,2020,3,4.5,3100,13950.0,13980.9,Sold,DIV
894,15,2021-05-13,2021,5,11.7,15000,175500.0,175888.72,Sold,DTD
598,28,2019-01-18,2019,1,7.1,15000,106500.0,106735.89,Sold,TP
641,131,2019-08-13,2019,8,125.0,2400,300000.0,300664.47,Sold,DTD
507,131,2018-02-14,2018,2,110.0,400,44000.0,44097.46,Sold,TP
508,136,2018-04-26,2018,4,175.0,600,105000.0,105232.56,Sold,TP
509,27,2018-02-12,2018,2,53.5,3000,160500.0,160855.5,Sold,TP
510,15,2018-02-14,2018,2,28.0,3000,84000.0,84186.05,Sold,TP
511,131,2018-02-14,2018,2,110.0,400,44000.0,44097.46,Sold,TP
513,54,2018-05-17,2018,5,53.45,2200,117590.0,117850.45,Sold,TP
514,137,2018-05-17,2018,5,38.75,2500,96875.0,97089.57,Sold,TP
515,48,2018-05-17,2018,5,10.0,30000,300000.0,300664.47,Active,HD
516,48,2018-08-01,2018,8,10.0,10000,100000.0,100221.49,Sold,HD
517,48,2019-11-01,2019,11,10.0,30000,300000.0,300664.47,Active,HD
518,38,2018-05-21,2018,5,37.0,7500,277500.0,278114.64,Sold,TP
519,134,2018-02-20,2018,2,20.4,4000,81600.0,81780.73,Sold,TP
520,66,2018-03-02,2018,3,8.3,10000,83000.0,83183.84,Sold,TP
505,58,2016-04-20,2016,4,25.0,10000,250000.0,250553.73,Sold,HD
506,131,2018-02-14,2018,2,110.0,400,44000.0,44097.46,Sold,TP
427,31,2015-05-06,2015,5,3.76,20000,75200.0,75366.56,Sold,HD
862,27,2021-04-22,2021,4,44.0,1000,44000.0,44097.46,Sold,DTD
669,58,2016-01-02,2016,1,25.0,4000,100000.0,100221.49,Sold,TP
343,97,2017-08-10,2017,8,29.0,4000,116000.0,116256.93,Sold,TP
676,25,2020-03-09,2020,3,0.81,100000,81000.0,81179.41,Sold,DIV
605,7,2019-02-18,2019,2,10.4,3000,31200.0,31269.1,Sold,DIV
606,134,2019-02-26,2019,2,18.5,10000,185000.0,185409.76,Sold,SS
603,141,2019-02-14,2019,2,12.0,30000,360000.0,360797.36,Sold,HD
604,125,2019-02-18,2019,2,9.4,5000,47000.0,47104.1,Sold,DTD
538,84,2018-07-17,2018,7,27.5,3000,82500.0,82682.73,Sold,TP
504,131,2018-02-14,2018,2,110.0,200,22000.0,22048.73,Sold,TP
911,81,2019-05-15,2019,5,14.7,10000,147000.0,147325.59,Sold,HD
453,91,2017-11-16,2017,11,37.0,2000,74000.0,74163.9,Sold,TP
709,152,2020-05-07,2020,5,40.0,5000,200000.0,200442.98,Sold,DTD
344,97,2017-08-11,2017,8,29.0,2000,58000.0,58128.46,Sold,TP
675,146,2020-03-06,2020,3,14.2,7100,100820.0,101043.31,Sold,DIV
623,143,2019-05-21,2019,5,6.1,16000,97600.0,97816.17,Sold,TP
563,137,2018-05-14,2018,5,38.75,2500,96875.0,97089.57,Sold,TP
500,58,2016-02-26,2016,2,25.0,10000,250000.0,250553.73,Sold,DT
498,113,2018-03-06,2018,3,14.5,8000,116000.0,116256.93,Sold,TP
499,124,2018-03-12,2018,3,86.81,1200,104172.0,104402.73,Sold,TP
438,125,2017-12-22,2017,12,9.4,5000,47000.0,47104.1,Sold,DTD
658,115,2019-11-28,2019,11,23.4,3000,70200.0,70355.48,Sold,DTD
468,129,2013-06-25,2013,6,16.57,27000,447390.0,448380.93,Sold,DIV
284,43,2016-08-26,2016,8,16.7,10000,167000.0,167369.89,Sold,HD
685,70,2020-03-30,2020,3,37.0,600,22200.0,22249.17,Sold,DIV
286,43,2016-09-20,2016,9,16.7,10000,167000.0,167369.89,Active,HD
287,43,2016-10-13,2016,10,16.7,10000,167000.0,167369.89,Active,HD
288,43,2016-10-31,2016,10,16.7,10000,167000.0,167369.89,Active,HD
289,43,2016-11-14,2016,11,16.7,10000,167000.0,167369.89,Active,HD
290,43,2016-11-17,2016,11,16.7,10000,167000.0,167369.89,Active,HD
673,134,2020-02-27,2020,2,18.5,4000,74000.0,74163.9,Sold,SS
293,43,2016-12-16,2016,12,17.4,5000,87000.0,87192.7,Sold,XP
294,70,2017-01-10,2017,1,56.75,4000,227000.0,227502.78,Sold,XP
637,81,2019-07-24,2019,7,14.7,10000,147000.0,147325.59,Sold,HD
296,21,2017-01-19,2017,1,28.0,10000,280000.0,280620.17,Sold,XP
297,50,2017-01-26,2017,1,10.7,20000,214000.0,214473.99,Sold,XP
298,50,2017-02-02,2017,2,10.7,2500,26750.0,26809.25,Sold,XP
696,85,2020-04-14,2020,4,66.0,1500,99000.0,99219.28,Sold,DTD
458,28,2018-01-23,2018,1,8.2,15000,123000.0,123272.43,Sold,XP
457,50,2017-12-12,2017,12,19.0,5000,95000.0,95210.42,Sold,TP
861,120,2021-04-21,2021,4,35.9,2500,89750.0,89948.78,Sold,DTD
684,149,2020-03-30,2020,3,3.5,6000,21000.0,21046.51,Sold,DIV
305,39,2017-02-14,2017,2,38.7,14000,541800.0,543000.04,Sold,XP
306,94,2017-02-14,2017,2,14.9,10000,149000.0,149330.02,Sold,XP
307,95,2017-02-16,2017,2,69.0,4000,276000.0,276611.31,Sold,XP
308,96,2017-02-16,2017,2,53.0,4000,212000.0,212469.56,Sold,TP
687,54,2020-04-01,2020,4,38.5,3000,115500.0,115755.83,Sold,DTD
690,47,2020-04-09,2020,4,47.0,600,28200.0,28262.46,Sold,DTD
310,97,2017-02-17,2017,2,23.0,5000,115000.0,115254.71,Sold,TP
686,109,2020-03-30,2020,3,68.0,500,34000.0,34075.31,Sold,DIV
312,99,2017-03-07,2017,3,15.5,10000,155000.0,155343.31,Sold,TP
680,148,2020-03-24,2020,3,24.8,1000,24800.0,24854.93,Sold,DIV
382,110,2017-09-11,2017,9,18.1,5000,90500.0,90700.45,Sold,DIV
316,97,2017-03-14,2017,3,23.0,5000,115000.0,115254.71,Sold,TP
689,45,2020-04-09,2020,4,190.0,600,114000.0,114252.5,Sold,SS
318,100,2017-03-29,2017,3,6.7,30000,201000.0,201445.19,Sold,XP
320,99,2017-03-30,2017,3,14.9,10000,149000.0,149330.02,Sold,XP
695,134,2019-02-26,2019,2,18.5,2000,37000.0,37081.95,Sold,SS
323,102,2017-04-19,2017,4,44.75,5000,223750.0,224245.58,Sold,XP
324,103,2017-04-19,2017,4,75.75,3000,227250.0,227753.34,Sold,XP
618,134,2019-05-15,2019,5,18.5,10000,185000.0,185409.76,Sold,SS
326,105,2017-04-21,2017,4,24.3,10000,243000.0,243538.22,Sold,XP
679,135,2020-03-19,2020,3,4.5,5000,22500.0,22549.84,Sold,DIV
328,97,2017-05-11,2017,5,23.0,5000,115000.0,115254.71,Sold,TP
330,106,2017-05-22,2017,5,0.59,100000,59000.0,59130.68,Sold,DT
913,113,2021-06-09,2021,6,24.5,3000,73500.0,73662.8,Sold,DTD
662,129,2019-12-09,2019,12,31.5,3000,94500.0,94709.31,Sold,DIV
334,95,2017-06-09,2017,6,69.0,3000,207000.0,207458.48,Sold,XP
335,87,2017-06-20,2017,6,11.6,20000,232000.0,232513.86,Sold,XP
336,97,2017-02-17,2017,2,23.0,5000,115000.0,115254.71,Sold,TP
677,147,2020-03-16,2020,3,4.2,5000,21000.0,21046.51,Sold,DIV
393,66,2017-11-09,2017,11,8.9,30000,267000.0,267591.38,Sold,TP
340,97,2017-07-26,2017,7,27.5,8000,220000.0,220487.28,Sold,XP
341,68,2017-08-04,2017,8,9.6,5000,48000.0,48106.32,Sold,TP
617,81,2019-05-15,2019,5,14.7,10000,147000.0,147325.59,Sold,HD
395,50,2017-11-10,2017,11,18.2,8000,145600.0,145922.49,Sold,TP
349,97,2017-08-16,2017,8,29.0,2000,58000.0,58128.46,Sold,TP
350,137,2017-08-17,2017,8,34.75,2000,69500.0,69653.94,Sold,TP
351,109,2017-08-17,2017,8,78.0,1000,78000.0,78172.76,Sold,TP
352,109,2017-08-18,2017,8,70.75,1000,70750.0,70906.7,Sold,TP
611,142,2019-03-11,2019,3,23.5,8000,188000.0,188416.4,Sold,TP
355,50,2017-02-02,2017,2,10.7,10000,107000.0,107236.99,Sold,TP
610,113,2019-03-07,2019,3,12.9,10000,129000.0,129285.72,Sold,TP
723,154,2020-05-28,2020,5,21.7,200,4340.0,4349.61,Sold,DIV
694,145,2019-11-20,2019,11,5.4,4500,24300.0,24353.82,Sold,DTD
359,113,2017-09-19,2017,9,14.5,8000,116000.0,116256.93,Sold,TP
360,112,2017-09-18,2017,9,3.44,60000,206400.0,206857.16,Sold,XP
361,114,2017-09-20,2017,9,19.0,4000,76000.0,76168.33,Sold,TP
362,50,2017-02-02,2017,2,10.7,2500,26750.0,26809.25,Sold,TP
363,68,2017-08-04,2017,8,9.6,10000,96000.0,96212.63,Sold,TP
364,113,2017-09-27,2017,9,14.5,7000,101500.0,101724.82,Sold,TP
365,68,2017-08-04,2017,8,9.6,5000,48000.0,48106.32,Sold,TP
366,115,2017-10-09,2017,10,20.8,2500,52000.0,52115.17,Sold,TP
367,89,2017-10-09,2017,10,3.56,60000,213600.0,214073.1,Sold,TP
368,97,2017-08-10,2017,8,29.0,4000,116000.0,116256.93,Sold,TP
693,125,2017-12-21,2017,12,10.2,5000,51000.0,51112.96,Sold,SS
370,137,2017-08-17,2017,8,32.75,2000,65500.0,65645.08,Sold,TP
371,113,2017-09-19,2017,9,14.6,3400,49640.0,49749.94,Sold,TP
609,28,2019-03-06,2019,3,5.8,25000,145000.0,145321.16,Sold,TP
373,50,2017-02-02,2017,2,15.5,2500,38750.0,38835.82,Sold,TP
678,147,2020-03-17,2020,3,4.0,5000,20000.0,20044.3,Sold,DIV
375,117,2017-10-18,2017,10,78.75,2000,157500.0,157848.85,Sold,TP
407,113,2017-10-19,2017,10,14.5,7000,101500.0,101724.82,Sold,TP
377,118,2017-10-19,2017,10,20.7,12000,248400.0,248950.18,Sold,TP
378,119,2017-10-19,2017,10,68.5,1000,68500.0,68651.73,Sold,TP
379,137,2017-07-18,2017,7,32.75,2000,65500.0,65645.08,Sold,TP
692,125,2017-12-20,2017,12,10.2,5000,51000.0,51112.96,Sold,BB
383,50,2017-02-02,2017,2,10.7,2500,26750.0,26809.25,Sold,TP
384,97,2017-08-11,2017,8,29.0,2000,58000.0,58128.46,Sold,TP
385,102,2017-11-01,2017,11,52.0,6000,312000.0,312691.05,Sold,TP
386,120,2017-11-02,2017,11,53.5,2000,107000.0,107236.99,Sold,XP
387,96,2017-11-02,2017,11,53.0,2000,106000.0,106234.78,Sold,TP
722,154,2020-05-28,2020,5,21.6,1000,21600.0,21647.84,Sold,DIV
389,110,2017-11-03,2017,11,10.3,6000,61800.0,61936.89,Sold,DIV
390,114,2017-11-06,2017,11,19.0,6000,114000.0,114252.5,Sold,TP
391,121,2017-11-06,2017,11,17.0,15000,255000.0,255564.8,Sold,TP
392,54,2017-11-07,2017,11,53.45,2200,117590.0,117850.45,Sold,TP
691,70,2020-04-09,2020,4,44.5,4800,213600.0,214073.1,Sold,DTD
397,122,2017-11-13,2017,11,7.0,10000,70000.0,70155.04,Sold,TP
398,115,2017-10-09,2017,10,20.8,5000,104000.0,104230.35,Sold,TP
399,123,2017-11-15,2017,11,14.6,7000,102200.0,102426.36,Sold,TP
400,91,2017-11-16,2017,11,37.0,4000,148000.0,148327.81,Sold,TP
401,115,2017-10-09,2017,10,20.8,2500,52000.0,52115.17,Sold,TP
402,115,2017-10-09,2017,10,20.8,2500,52000.0,52115.17,Sold,TP
403,117,2017-10-18,2017,10,78.75,1000,78750.0,78924.42,Sold,TP
404,120,2017-11-02,2017,11,53.5,2000,107000.0,107236.99,Sold,TP
405,51,2017-11-20,2017,11,2.76,90000,248400.0,248950.18,Sold,TP
